,name,model,actual price,old price,discount
840,Vans,Lampin 86 DX,"42,50","85,00",50%
841,Vans,Lampin 86 DX,"42,50","85,00",50%
842,Vans,Lampin 86 DX,"42,50","85,00",50%
843,Vans,Sk8-Hi 38 DX ,"47,50","95,00",50%
844,Vans,Old Skool 36 DX,"100,00","100,00",0%
845,Vans,Authentic 44 DX ,"45,00","90,00",50%
846,Vans,Sk8-Hi 38 DX,"50,00","100,00",50%
847,Crocs,Classic Lined Clog,"55,00","55,00",0%
848,Crocs,Classic Clog ,"30,00","30,00",0%
849,Nike,Women's Air Force 1 Fontanka ,"88,00","110,00",20%
850,Crocs,Classic Clog ,"30,00","30,00",0%
851,Converse,Chuck 70 Hi Sedona ,"60,00","120,00",50%
852,Converse,Chuck 70 Hi Sedona,"60,00","120,00",50%
853,New Balance,574,"67,50","90,00",25%
854,adidas,TRX Mesh,"50,00","100,00",50%
855,RAF SIMONS,Orion,"110,00","220,00",50%
856,RAF SIMONS,Cylon-22,"225,00","450,00",50%
857,RAF SIMONS,Cylon-22,"225,00","450,00",50%
858,RAF SIMONS,Cycloid -4 - 2001,"340,00","680,00",50%
859,RAF SIMONS,Cylon - 21 ,"210,00","420,00",50%
860,adidas,Geodiver +,"60,00","120,00",50%
861,Vans,Sk8-Hi Reissue VLT LX x Patta,"55,00","110,00",50%
862,Dr. Martens,1461 Mono Patent Lamper,"126,50","230,00",45%
863,Nike,Air Huarache LE,"71,50","130,00",45%
864,Vans,Old Skool Platform,"50,00","100,00",50%
865,Vans,Sk8-Hi Reissue LX,"60,50","110,00",45%
866,Vans,EVDNT RW Ultimate Waffle,"62,50","125,00",50%
867,Vans,Slip-On Lx OG,"60,00","120,00",50%
868,New Balance,Women's 5740 V1,"71,50","130,00",45%
869,adidas,Retropy P9,"80,00","160,00",50%
870,Le Coq Sportif,Gaia Velcro,"115,00","115,00",0%
871,adidas Consortium,Campus 80 Bookwork,"50,00","100,00",50%
872,Vans Vault,Authentic Lx OG x Nigel Cabourn,"60,50","110,00",45%
873,Vans Vault,Authentic Lx OG x Nigel Cabourn,"60,50","110,00",45%
874,Vans Vault,Slip-On Lx OG x Nigel Cabourn,"55,00","100,00",45%
875,Vans Vault,Style 24 Lx OG x Nigel Cabourn,"66,00","120,00",45%
876,Nike SB,Blazer Mid ,"85,00","85,00",0%
877,Nike,Women's Air Max Furyosa,"150,00","150,00",0%
878,Reebok,Versa Pump Fury ,"60,00","60,00",0%
879,Nike,Air Huarache ,"71,50","130,00",45%
880,Reebok,Club C Revenge x Jelly Beans,"50,00","100,00",50%
881,Reebok,InstaPump Fury OG x Jelly Beans,"100,00","200,00",50%
882,Reebok,Kid's Club C Revenge x Jelly Beans,"25,00","50,00",50%
883,Nike,Women's Air Huarache ,"66,00","120,00",45%
884,Nike,Free Run 2,"110,00","110,00",0%
885,Converse,CTAS Lugged Winter 2.0 Hi,"60,50","110,00",45%
886,Salomon, XT-4 Advanced,"190,00","190,00",0%
887,Salomon, XT-4 Advanced,"190,00","190,00",0%
